Protein,go_term_type,go_term
P43004,Component,glutamatergic synapse
P43004,Component,integral component of plasma membrane
P43004,Component,integral component of presynaptic membrane
P43004,Component,membrane
P43004,Component,plasma membrane
Q15125,Component,cytoplasmic vesicle
Q15125,Component,endoplasmic reticulum
Q15125,Component,endoplasmic reticulum membrane
Q15125,Component,integral component of plasma membrane
Q15125,Component,nuclear envelope
Q13011,Component,cytosol
Q13011,Component,extracellular exosome
Q13011,Component,membrane
Q13011,Component,mitochondrion
Q13011,Component,peroxisomal matrix
Q13011,Component,peroxisome
Q9NTX5,Component,cytosol
P23378,Component,glycine cleavage complex
P23378,Component,mitochondrial matrix
P23378,Component,mitochondrion
P23378,Component,nucleus
P23378,Component,plasma membrane
Q16610,Component,collagen-containing extracellular matrix
Q16610,Component,extracellular exosome
Q16610,Component,extracellular matrix
Q16610,Component,extracellular region
Q16610,Component,platelet dense granule lumen
Q5VYK3,Component,centrosome
Q5VYK3,Component,COPII-coated ER to Golgi transport vesicle
Q5VYK3,Component,cytoplasmic vesicle
Q5VYK3,Component,early endosome
Q5VYK3,Component,endocytic vesicle
Q5VYK3,Component,endoplasmic reticulum
Q5VYK3,Component,endoplasmic reticulum-Golgi intermediate compartment
Q5VYK3,Component,late endosome
Q5VYK3,Component,membrane
Q5VYK3,Component,multivesicular body
Q5VYK3,Component,nucleus
Q5VYK3,Component,proteasome complex
O94769,Component,extracellular matrix
O94769,Component,interstitial matrix
Q15075,Component,axonal spine
Q15075,Component,cytoplasm
Q15075,Component,cytosol
Q15075,Component,early endosome
Q15075,Component,early endosome membrane
Q15075,Component,extracellular exosome
Q15075,Component,extrinsic component of plasma membrane
Q15075,Component,membrane
Q15075,Component,presynapse
Q15075,Component,recycling endosome
Q15075,Component,serine-pyruvate aminotransferase complex
P20800,Component,cell
P20800,Component,extracellular region
P20800,Component,extracellular space
O75530,Component,cytosol
O75530,Component,ESC/E(Z) complex
O75530,Component,nucleoplasm
O75530,Component,nucleus
O75530,Component,pronucleus
O75530,Component,sex chromatin
Q02108,Component,GABA-ergic synapse
Q02108,Component,glutamatergic synapse
Q02108,Component,"guanylate cyclase complex, soluble"
O75343,Component,cytoplasm
Q9NXN4,Component,lysosomal membrane
Q9NZC3,Component,cytoplasmic vesicle membrane
Q9NZC3,Component,integral component of membrane
Q9NZC3,Component,plasma membrane
P29692,Component,cytoplasm
P29692,Component,cytosol
P29692,Component,eukaryotic translation elongation factor 1 complex
P29692,Component,fibrillar center
P29692,Component,nucleus
P55107,Component,collagen-containing extracellular matrix
P55107,Component,extracellular space
Q7Z4P5,Component,extracellular space
Q8N4Y2,Component,cytoplasm
Q9BSW2,Component,cytoplasm
Q9BSW2,Component,extracellular region
Q9BSW2,Component,membrane
Q9BSW2,Component,specific granule lumen
Q5THR3,Component,nucleoplasm
O14793,Component,cytoplasm
O14793,Component,extracellular space
P52565,Component,cytoskeleton
P52565,Component,cytosol
P52565,Component,extracellular exosome
P52565,Component,membrane
P52566,Component,cytoplasm
P52566,Component,cytoplasmic vesicle
P52566,Component,cytoskeleton
P52566,Component,cytosol
P52566,Component,extracellular exosome
P52566,Component,membrane
P06396,Component,actin cap
P06396,Component,actin cytoskeleton
P06396,Component,blood microparticle
P06396,Component,cortical actin cytoskeleton
P06396,Component,cytoplasm
P06396,Component,cytosol
P06396,Component,extracellular exosome
P06396,Component,extracellular region
P06396,Component,extracellular space
P06396,Component,ficolin-1-rich granule lumen
P06396,Component,focal adhesion
P06396,Component,lamellipodium
P06396,Component,myelin sheath
P06396,Component,perinuclear region of cytoplasm
P06396,Component,phagocytic vesicle
P06396,Component,plasma membrane
P06396,Component,podosome
P06396,Component,ruffle
P06396,Component,sarcoplasm
P06396,Component,secretory granule lumen
O14893,Component,cytoplasm
O14893,Component,cytosol
O14893,Component,Gemini of coiled bodies
O14893,Component,nuclear body
O14893,Component,nucleolus
O14893,Component,nucleoplasm
O14893,Component,nucleus
O14893,Component,SMN complex
O14893,Component,SMN-Sm protein complex
O14893,Component,spliceosomal complex
Q96C19,Component,membrane raft
Q8WVE0,Component,cytosol
Q96AZ1,Component,centrosome
Q96AZ1,Component,cytoplasm
Q96AZ1,Component,intracellular
Q96AZ1,Component,protein-containing complex
Q9NWZ8,Component,cytoplasm
Q9NWZ8,Component,cytosol
Q9NWZ8,Component,Gemini of coiled bodies
Q9NWZ8,Component,nucleoplasm
Q9NWZ8,Component,nucleus
Q9NWZ8,Component,SMN complex
Q9NWZ8,Component,SMN-Sm protein complex
O75496,Component,cytoplasm
O75496,Component,cytosol
O75496,Component,nucleoplasm
O75496,Component,nucleus
Q15768,Component,glutamatergic synapse
Q15768,Component,hippocampal mossy fiber to CA3 synapse
Q15768,Component,integral component of plasma membrane
Q15768,Component,integral component of postsynaptic density membrane
Q15768,Component,integral component of presynaptic membrane
Q15768,Component,plasma membrane
Q06210,Component,cytosol
Q06210,Component,extracellular exosome
P56159,Component,anchored component of membrane
P56159,Component,external side of plasma membrane
P56159,Component,extracellular exosome
P56159,Component,extrinsic component of membrane
P56159,Component,plasma membrane
P56159,Component,receptor complex
O00451,Component,anchored component of membrane
O00451,Component,external side of plasma membrane
O00451,Component,extrinsic component of membrane
O00451,Component,plasma membrane
O00451,Component,receptor complex
O60609,Component,anchored component of membrane
O60609,Component,cytosol
O60609,Component,external side of plasma membrane
O60609,Component,extrinsic component of membrane
O60609,Component,plasma membrane
O60609,Component,receptor complex
Q9GZZ7,Component,anchored component of membrane
Q9GZZ7,Component,external side of plasma membrane
Q9GZZ7,Component,extracellular space
Q9GZZ7,Component,plasma membrane
Q9GZZ7,Component,receptor complex
P30047,Component,cytoplasm
P30047,Component,cytosol
P30047,Component,dendrite
P30047,Component,melanosome
P30047,Component,nuclear membrane
P30047,Component,nucleoplasm
P30047,Component,nucleus
P30047,Component,protein-containing complex
I3L273,Component,integral component of Golgi membrane
P43897,Component,mitochondrial matrix
P43897,Component,mitochondrion
P43897,Component,nucleus
P19440,Component,extracellular exosome
P19440,Component,extracellular space
P19440,Component,integral component of membrane
P19440,Component,plasma membrane
Q9H936,Component,integral component of membrane
Q9H936,Component,mitochondrial inner membrane
Q9H0K6,Component,nucleus
Q96PZ0,Component,nucleus
A1KZ92,Component,cytoplasm
A1KZ92,Component,extracellular space
Q92626,Component,collagen-containing extracellular matrix
Q92626,Component,endoplasmic reticulum
Q92626,Component,extracellular exosome
Q92626,Component,extracellular region
Q92626,Component,extracellular space
Q02127,Component,cytosol
Q02127,Component,integral component of membrane
Q02127,Component,mitochondrial inner membrane
Q02127,Component,mitochondrion
Q02127,Component,neuronal cell body
Q02127,Component,nucleoplasm
Q02127,Component,plasma membrane
P17812,Component,cytoophidium
P17812,Component,cytoplasm
P17812,Component,cytosol
P17812,Component,membrane
Q9NRF8,Component,cytoophidium
Q9NRF8,Component,cytoplasm
Q9NRF8,Component,cytosol
Q96N64,Component,nucleus
O75192,Component,integral component of peroxisomal membrane
O75192,Component,peroxisomal membrane
O75192,Component,peroxisome
O75192,Component,protein-containing complex
Q8WXC3,Component,cytosol
Q8WXC3,Component,IkappaB kinase complex
Q8WXC3,Component,nucleus
Q56P42,Component,cytoplasm
Q56P42,Component,nucleus
P0DMW2,Component,cytoplasm
P0DMW2,Component,nucleus
Q9BRP8,Component,cell junction
Q9BRP8,Component,cytosol
Q9BRP8,Component,exon-exon junction complex
Q9BRP8,Component,nucleolus
Q9BRP8,Component,nucleoplasm
Q9BRP8,Component,nucleus
P27708,Component,cell projection
P27708,Component,cytoplasm
P27708,Component,cytosol
P27708,Component,extracellular exosome
P27708,Component,membrane
P27708,Component,neuronal cell body
P27708,Component,nuclear matrix
P27708,Component,nucleoplasm
P27708,Component,nucleus
P27708,Component,protein-containing complex
P27708,Component,terminal bouton
P11217,Component,cytoplasm
P11217,Component,cytosol
P11217,Component,extracellular exosome
Q9Y3Y4,Component,nucleoplasm
Q9NR77,Component,cytoplasm
Q9NR77,Component,integral component of membrane
Q9NR77,Component,membrane
Q9NR77,Component,peroxisomal membrane
Q9NR77,Component,protein-containing complex
Q9Y6I8,Component,integral component of membrane
Q9Y6I8,Component,peroxisomal membrane
Q9Y6I8,Component,peroxisome
Q7Z7A4,Component,cytoplasm
Q7Z7A4,Component,cytosol
Q7Z7A4,Component,microtubule organizing center
Q7Z7A4,Component,nucleus
Q7Z7A4,Component,plasma membrane
Q7Z7A4,Component,protein-containing complex
O96011,Component,integral component of peroxisomal membrane
O96011,Component,membrane
O96011,Component,mitochondrion
O96011,Component,peroxisomal membrane
O96011,Component,peroxisome
O96011,Component,protein-containing complex
Q96HA9,Component,integral component of peroxisomal membrane
Q96HA9,Component,intrinsic component of peroxisomal membrane
Q96HA9,Component,peroxisome
Q96HA9,Component,protein-containing complex
Q8TBF2,Component,cytoplasm
Q8TBF2,Component,cytosol
Q8TBF2,Component,endoplasmic reticulum
Q8TBF2,Component,extracellular exosome
Q8TBF2,Component,myelin sheath
Q8WU10,Component,nucleus
Q8WU10,Component,sarcomere
Q5JQD4,Component,extracellular space
O95825,Component,cytosol
O14949,Component,mitochondrial inner membrane
O14949,Component,mitochondrial respiratory chain complex III
O14949,Component,mitochondrion
P28070,Component,cytoplasm
P28070,Component,cytosol
P28070,Component,extracellular exosome
P28070,Component,nucleoplasm
P28070,Component,nucleus
P28070,Component,proteasome complex
P28070,Component,proteasome core complex
P28070,Component,"proteasome core complex, beta-subunit complex"
O43653,Component,anchored component of membrane
O43653,Component,extracellular exosome
O43653,Component,extracellular region
O43653,Component,membrane
O43653,Component,plasma membrane
Q9NYI0,Component,cell junction
Q9NYI0,Component,postsynaptic density
Q9NYI0,Component,postsynaptic membrane
Q9NYI0,Component,ruffle membrane
Q15008,Component,cytosol
Q15008,Component,extracellular region
Q15008,Component,ficolin-1-rich granule lumen
Q15008,Component,nucleoplasm
Q15008,Component,proteasome accessory complex
Q15008,Component,proteasome complex
Q15008,Component,proteasome regulatory particle
Q15008,Component,secretory granule lumen
P48556,Component,cytosol
P48556,Component,nucleoplasm
P48556,Component,nucleus
P48556,Component,proteasome accessory complex
P48556,Component,proteasome complex
P48556,Component,proteasome regulatory particle
P48556,Component,"proteasome regulatory particle, lid subcomplex"
P41222,Component,endoplasmic reticulum membrane
P41222,Component,extracellular exosome
P41222,Component,extracellular region
P41222,Component,extracellular space
P41222,Component,Golgi apparatus
P41222,Component,nuclear membrane
P41222,Component,perinuclear region of cytoplasm
P41222,Component,rough endoplasmic reticulum
Q16647,Component,caveola
Q16647,Component,endoplasmic reticulum
Q16647,Component,endoplasmic reticulum membrane
Q16647,Component,extracellular space
Q16647,Component,integral component of membrane
Q16647,Component,nucleus
Q8N4Q0,Component,peroxisome
Q03431,Component,apical plasma membrane
Q03431,Component,basolateral plasma membrane
Q03431,Component,brush border membrane
Q03431,Component,cytoplasm
Q03431,Component,integral component of plasma membrane
Q03431,Component,nucleus
Q03431,Component,plasma membrane
Q03431,Component,receptor complex
P12272,Component,cytoplasm
P12272,Component,cytosol
P12272,Component,extracellular region
P12272,Component,extracellular space
P12272,Component,Golgi apparatus
P12272,Component,nucleoplasm
P17706,Component,cytosol
P17706,Component,endoplasmic reticulum
P17706,Component,endoplasmic reticulum-Golgi intermediate compartment
P17706,Component,nucleoplasm
P17706,Component,nucleus
P17706,Component,plasma membrane
Q06124,Component,cytoplasm
Q06124,Component,cytosol
Q06124,Component,mitochondrion
Q06124,Component,nucleoplasm
Q06124,Component,nucleus
Q06124,Component,protein-containing complex
P35236,Component,cytoplasm
P35236,Component,cytoplasmic side of plasma membrane
P35236,Component,cytoskeleton
P35236,Component,cytosol
P35236,Component,nucleoplasm
Q15257,Component,calcium channel complex
Q15257,Component,cytoplasm
Q15257,Component,extracellular exosome
Q15257,Component,nucleoplasm
Q15257,Component,nucleus
Q15257,Component,protein phosphatase type 2A complex
Q92932,Component,cell junction
Q92932,Component,endoplasmic reticulum lumen
Q92932,Component,ficolin-1-rich granule membrane
Q92932,Component,integral component of plasma membrane
Q92932,Component,integral component of synaptic vesicle membrane
Q92932,Component,plasma membrane
Q92932,Component,receptor complex
Q92932,Component,secretory granule membrane
Q92932,Component,synaptic vesicle membrane
Q92932,Component,terminal bouton
P23469,Component,cytoplasm
P23469,Component,integral component of membrane
P23469,Component,nucleus
P23469,Component,plasma membrane
Q03393,Component,cytoplasm
Q03393,Component,cytosol
Q03393,Component,mitochondrion
P10586,Component,extracellular exosome
P10586,Component,integral component of plasma membrane
P10586,Component,neuron projection
P10586,Component,neuronal cell body
P10586,Component,plasma membrane
Q15262,Component,adherens junction
Q15262,Component,axon
Q15262,Component,cell junction
Q15262,Component,cell surface
Q15262,Component,cell-cell junction
Q15262,Component,dendrite
Q15262,Component,integral component of membrane
Q15262,Component,integral component of plasma membrane
Q15262,Component,intracellular membrane-bounded organelle
Q15262,Component,leading edge membrane
Q15262,Component,neuronal cell body
Q15262,Component,photoreceptor outer segment
Q15262,Component,plasma membrane
Q92729,Component,cell-cell junction
Q92729,Component,integral component of plasma membrane
Q92729,Component,plasma membrane
Q9NX57,Component,early endosome
Q9NX57,Component,endocytic vesicle
Q9NX57,Component,endosome
Q9NX57,Component,Golgi apparatus
Q9NX57,Component,intracellular membrane-bounded organelle
Q9NX57,Component,phagocytic vesicle
Q9NX57,Component,phagocytic vesicle membrane
Q9NX57,Component,plasma membrane
Q9Y2K5,Component,nucleus
Q15286,Component,anchored component of synaptic vesicle membrane
Q15286,Component,cell projection membrane
Q15286,Component,clathrin-coated endocytic vesicle
Q15286,Component,clathrin-coated pit
Q15286,Component,clathrin-coated vesicle membrane
Q15286,Component,cytosol
Q15286,Component,endosome membrane
Q15286,Component,extracellular exosome
Q15286,Component,Golgi membrane
Q15286,Component,intercellular bridge
Q15286,Component,melanosome
Q15286,Component,plasma membrane
Q15286,Component,recycling endosome membrane
A8MTL3,Component,synaptonemal complex
Q96E17,Component,anchored component of synaptic vesicle membrane
Q96E17,Component,cytosol
Q96E17,Component,endosome
Q96E17,Component,perinuclear region of cytoplasm
Q96E17,Component,plasma membrane
Q96E17,Component,synaptic vesicle
Q96E17,Component,vesicle
Q15276,Component,early endosome
Q15276,Component,early endosome membrane
Q15276,Component,endocytic vesicle
Q15276,Component,endosome
Q15276,Component,intracellular membrane-bounded organelle
Q15276,Component,protein-containing complex
Q15276,Component,recycling endosome
Q06609,Component,chromatin
Q06609,Component,condensed chromosome
Q06609,Component,condensed nuclear chromosome
Q06609,Component,cytoplasm
Q06609,Component,cytosol
Q06609,Component,lateral element
Q06609,Component,microtubule organizing center
Q06609,Component,mitochondrial matrix
Q06609,Component,mitochondrion
Q06609,Component,nuclear chromatin
Q06609,Component,nuclear chromosome
Q06609,Component,"nuclear chromosome, telomeric region"
Q06609,Component,nucleolus
Q06609,Component,nucleoplasm
Q06609,Component,nucleus
Q06609,Component,perinuclear region of cytoplasm
Q06609,Component,PML body
Q06609,Component,protein-containing complex
Q06609,Component,site of double-strand break
P43351,Component,nucleoplasm
P43351,Component,nucleus
P43351,Component,protein-containing complex
P43351,Component,protein-DNA complex
P04049,Component,cytoplasm
P04049,Component,cytosol
P04049,Component,Golgi apparatus
P04049,Component,mitochondrial outer membrane
P04049,Component,mitochondrion
P04049,Component,nuclear speck
P04049,Component,plasma membrane
P04049,Component,pseudopodium
Q8IUD2,Component,cytoplasm
Q8IUD2,Component,Golgi membrane
Q8IUD2,Component,IkappaB kinase complex
Q8IUD2,Component,presynaptic active zone
Q8IUD2,Component,presynaptic membrane
Q8IUD2,Component,synapse
Q9H6Z4,Component,centrosome
Q9H6Z4,Component,cytoplasm
Q9H6Z4,Component,nuclear pore
Q9H6Z4,Component,nucleoplasm
Q9H6Z4,Component,nucleus
Q9NS23,Component,cytoplasm
Q9NS23,Component,microtubule
Q9NS23,Component,microtubule cytoskeleton
Q9NS23,Component,microtubule organizing center
Q9NS23,Component,nucleus
Q9NS23,Component,spindle pole
Q8N0V3,Component,mitochondrion
P51159,Component,apical plasma membrane
P51159,Component,cytosol
P51159,Component,dendrite
P51159,Component,exocytic vesicle
P51159,Component,extracellular exosome
P51159,Component,extracellular region
P51159,Component,Golgi apparatus
P51159,Component,late endosome
P51159,Component,lysosome
P51159,Component,melanosome
P51159,Component,melanosome membrane
P51159,Component,multivesicular body membrane
P51159,Component,photoreceptor outer segment
P51159,Component,secretory granule
P51159,Component,secretory granule membrane
P51159,Component,specific granule lumen
P51159,Component,synapse
P51159,Component,Weibel-Palade body
O00194,Component,anchored component of synaptic vesicle membrane
O00194,Component,apical plasma membrane
O00194,Component,axon cytoplasm
O00194,Component,extracellular exosome
O00194,Component,Golgi apparatus
O00194,Component,Golgi stack
O00194,Component,melanosome
O00194,Component,multivesicular body membrane
O00194,Component,plasma membrane
O00194,Component,platelet dense granule membrane
O00194,Component,secretory granule
O00194,Component,trans-Golgi network transport vesicle
O00194,Component,zymogen granule membrane
Q9H082,Component,endoplasmic reticulum membrane
Q9H082,Component,Golgi apparatus
Q9H082,Component,Golgi lumen
Q9H082,Component,Golgi membrane
Q9H082,Component,presynapse
Q9UNT1,Component,centriole
Q9UNT1,Component,ciliary basal body
Q9UNT1,Component,cytoplasm
Q9UNT1,Component,pericentriolar material
P28749,Component,chromatin
P28749,Component,nucleoplasm
P28749,Component,transcription factor complex
P98179,Component,cytoplasm
P98179,Component,dendrite
P98179,Component,nucleolus
P98179,Component,nucleoplasm
P98179,Component,nucleus
P98179,Component,ribonucleoprotein complex
P98179,Component,spliceosomal complex
Q9BWF3,Component,cytoplasm
Q9BWF3,Component,cytoplasmic stress granule
Q9BWF3,Component,cytosol
Q9BWF3,Component,nuclear speck
Q9BWF3,Component,nucleolus
Q9BWF3,Component,nucleoplasm
Q9BWF3,Component,nucleus
Q9Y4C8,Component,chromosome
Q9Y4C8,Component,cytoplasm
Q9Y4C8,Component,membrane
Q9Y4C8,Component,nucleolus
Q9Y4C8,Component,nucleoplasm
Q9Y580,Component,nucleoplasm
Q9Y580,Component,nucleus
A0AV96,Component,nucleus
Q9Y5S9,Component,catalytic step 2 spliceosome
Q9Y5S9,Component,cytoplasm
Q9Y5S9,Component,cytosol
Q9Y5S9,Component,dendrite
Q9Y5S9,Component,exon-exon junction complex
Q9Y5S9,Component,neuronal cell body
Q9Y5S9,Component,nuclear speck
Q9Y5S9,Component,nucleoplasm
Q9Y5S9,Component,nucleus
P29558,Component,cytoplasm
P29558,Component,cytosol
P29558,Component,nucleus
P29558,Component,ribonucleoprotein complex
Q9Y388,Component,RES complex
Q9Y388,Component,U2 snRNP
P49756,Component,cytoplasm
P49756,Component,nuclear speck
P31930,Component,cytosol
P31930,Component,mitochondrial inner membrane
P31930,Component,mitochondrial respiratory chain
P31930,Component,mitochondrial respiratory chain complex III
P31930,Component,mitochondrion
P31930,Component,myelin sheath
P42766,Component,cytosol
P42766,Component,cytosolic large ribosomal subunit
P42766,Component,membrane
P42766,Component,nucleolus
Q6NVV1,Component,cytosolic large ribosomal subunit
Q6NVV1,Component,nucleus
Q6NVV1,Component,ribosome
Q96D70,Component,nucleus
Q86UN2,Component,anchored component of plasma membrane
Q86UN2,Component,cell projection
Q86UN2,Component,cell surface
Q86UN2,Component,external side of plasma membrane
Q86UN2,Component,extracellular exosome
Q86UN2,Component,extracellular matrix
Q86UN2,Component,extracellular region
Q86UN2,Component,extracellular space
Q86UN2,Component,membrane raft
Q86UN2,Component,perikaryon
Q86UN2,Component,plasma membrane
P59190,Component,cilium
P59190,Component,cytoplasm
P59190,Component,endosome
P59190,Component,endosome membrane
P59190,Component,extracellular exosome
P59190,Component,perinuclear region of cytoplasm
P59190,Component,plasma membrane
P59190,Component,synaptic vesicle
Q9Y3L5,Component,bicellular tight junction
Q9Y3L5,Component,cell-cell contact zone
Q9Y3L5,Component,cytoplasm
Q9Y3L5,Component,cytosol
Q9Y3L5,Component,extracellular exosome
Q9Y3L5,Component,plasma membrane
Q9Y3L5,Component,recycling endosome membrane
Q9Y3L5,Component,tertiary granule membrane
P61224,Component,azurophil granule membrane
P61224,Component,cell-cell junction
P61224,Component,cytosol
P61224,Component,extracellular exosome
P61224,Component,intracellular
P61224,Component,lipid droplet
P61224,Component,membrane
P61224,Component,plasma membrane
Q8WWW0,Component,cytoplasm
Q8WWW0,Component,microtubule
Q8WWW0,Component,nucleus
P07949,Component,axon
P07949,Component,cytoplasm
P07949,Component,cytosol
P07949,Component,dendrite
P07949,Component,early endosome
P07949,Component,endosome membrane
P07949,Component,integral component of plasma membrane
P07949,Component,intracellular membrane-bounded organelle
P07949,Component,membrane raft
P07949,Component,neuronal cell body
P07949,Component,plasma membrane
P07949,Component,plasma membrane protein complex
P07949,Component,receptor complex
Q9UBZ9,Component,nucleoplasm
P14927,Component,mitochondrial inner membrane
P14927,Component,mitochondrial respiratory chain
P14927,Component,mitochondrial respiratory chain complex III
P10082,Component,extracellular region
P10082,Component,extracellular space
Q53FA7,Component,cytosol
O15315,Component,nucleoplasm
O15315,Component,nucleus
O15315,Component,Rad51B-Rad51C-Rad51D-XRCC2 complex
O15315,Component,replication fork
P61106,Component,cytosol
P61106,Component,early endosome
P61106,Component,early endosome membrane
P61106,Component,extracellular exosome
P61106,Component,Golgi membrane
P61106,Component,Golgi stack
P61106,Component,intracellular
P61106,Component,intracellular membrane-bounded organelle
P61106,Component,late endosome
P61106,Component,lysosomal membrane
P61106,Component,lysosome
P61106,Component,nuclear outer membrane-endoplasmic reticulum membrane network
P61106,Component,perinuclear region of cytoplasm
P61106,Component,phagocytic vesicle
P61106,Component,plasma membrane
P61106,Component,recycling endosome
P61106,Component,recycling endosome membrane
P61106,Component,rough endoplasmic reticulum
P61106,Component,tertiary granule membrane
P61106,Component,trans-Golgi network
P61106,Component,trans-Golgi network transport vesicle
P20339,Component,actin cytoskeleton
P20339,Component,anchored component of synaptic vesicle membrane
P20339,Component,axon
P20339,Component,axon terminus
P20339,Component,clathrin-coated vesicle membrane
P20339,Component,cytoplasm
P20339,Component,cytoplasmic side of early endosome membrane
P20339,Component,cytosol
P20339,Component,dendrite
P20339,Component,early endosome
P20339,Component,early endosome membrane
P20339,Component,endocytic vesicle
P20339,Component,endosome
P20339,Component,endosome membrane
P20339,Component,extracellular exosome
P20339,Component,melanosome
P20339,Component,membrane raft
P20339,Component,neuronal cell body
P20339,Component,phagocytic vesicle membrane
P20339,Component,plasma membrane
P20339,Component,postsynaptic early endosome
P20339,Component,ruffle
P20339,Component,somatodendritic compartment
P20339,Component,synaptic vesicle
P20339,Component,terminal bouton
P57729,Component,cytosol
P57729,Component,early endosome
P57729,Component,endoplasmic reticulum
P57729,Component,lysosome
P57729,Component,melanosome
P57729,Component,melanosome membrane
P57729,Component,membrane
P57729,Component,mitochondria-associated endoplasmic reticulum membrane
P57729,Component,mitochondrion
P57729,Component,phagocytic vesicle
P57729,Component,phagocytic vesicle membrane
P57729,Component,plasma membrane
P57729,Component,trans-Golgi network
P20336,Component,acrosomal vesicle
P20336,Component,anchored component of synaptic vesicle membrane
P20336,Component,axon
P20336,Component,clathrin-sculpted acetylcholine transport vesicle membrane
P20336,Component,clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane
P20336,Component,clathrin-sculpted glutamate transport vesicle membrane
P20336,Component,clathrin-sculpted monoamine transport vesicle membrane
P20336,Component,cytosol
P20336,Component,endosome
P20336,Component,extracellular vesicle
P20336,Component,plasma membrane
P20336,Component,presynaptic active zone
P20336,Component,protein-containing complex
P20336,Component,secretory granule membrane
P20336,Component,synaptic vesicle
P20336,Component,terminal bouton
P20336,Component,vesicle
Q9H0U4,Component,cytosol
Q9H0U4,Component,endoplasmic reticulum membrane
Q9H0U4,Component,endoplasmic reticulum-Golgi intermediate compartment membrane
Q9H0U4,Component,extracellular exosome
Q9H0U4,Component,Golgi apparatus
Q9H0U4,Component,Golgi membrane
Q9H0U4,Component,phagophore assembly site membrane
Q9H0U4,Component,transport vesicle
Q9NP90,Component,cytosol
Q9NP90,Component,phagocytic vesicle
Q9NP90,Component,phagocytic vesicle membrane
Q9NP90,Component,plasma membrane
Q9NP90,Component,secretory granule membrane
Q96S21,Component,Golgi membrane
Q96S21,Component,perinuclear region of cytoplasm
Q96S21,Component,plasma membrane
Q6ZP01,Component,cytoplasm
Q6ZP01,Component,intercellular bridge
P78332,Component,nucleus
Q5RL73,Component,nucleoplasm
Q93062,Component,cytoplasmic stress granule
Q93062,Component,cytosol
Q93062,Component,nucleoplasm
Q93062,Component,P-body
P0C7P1,Component,nucleus
P0C7P1,Component,ribonucleoprotein complex
P0C7P1,Component,U2 snRNP
A6NEQ0,Component,nucleus
A6NEQ0,Component,ribonucleoprotein complex
A6NEQ0,Component,U2 snRNP
Q9H4I0,Component,chromosome
Q9H4I0,Component,lateral element
Q9H4I0,Component,meiotic cohesin complex
Q9H4I0,Component,nuclear meiotic cohesin complex
Q9H4I0,Component,nucleus
Q96D15,Component,endoplasmic reticulum
Q96D15,Component,endoplasmic reticulum lumen
P61575,Component,cytoplasm
P61575,Component,nucleolus
Q9HCJ3,Component,cytoplasm
Q9HCJ3,Component,nucleus
P98175,Component,nuclear speck
P98175,Component,nucleus
P57052,Component,nuclear speck
P57052,Component,nucleoplasm
P57052,Component,nucleus
Q8TBY0,Component,nucleus
Q9NW64,Component,catalytic step 2 spliceosome
Q9NW64,Component,cytoplasm
Q9NW64,Component,nucleoplasm
Q9NW64,Component,nucleus
Q9NW64,Component,Prp19 complex
Q9NW64,Component,U2-type catalytic step 1 spliceosome
Q9NW64,Component,U2-type catalytic step 2 spliceosome
P49792,Component,annulate lamellae
P49792,Component,centrosome
P49792,Component,cytoplasm
P49792,Component,cytoplasmic periphery of the nuclear pore complex
P49792,Component,cytosol
P49792,Component,membrane
P49792,Component,mitochondrion
P49792,Component,nuclear envelope
P49792,Component,nuclear inclusion body
P49792,Component,nuclear membrane
P49792,Component,nuclear pore
P49792,Component,nuclear pore cytoplasmic filaments
P49792,Component,nuclear pore nuclear basket
P49792,Component,nucleus
Q86U06,Component,cytoplasmic stress granule
Q86U06,Component,membrane
Q86U06,Component,nucleus
Q86U06,Component,ribonucleoprotein complex
Q9NW13,Component,nucleolus
Q9NW13,Component,ribonucleoprotein complex
Q9NW13,Component,spliceosomal complex
Q5TC82,Component,cytoplasmic stress granule
Q5TC82,Component,P-body
O95980,Component,anchored component of membrane
O95980,Component,extracellular region
O95980,Component,membrane
O95980,Component,plasma membrane
P48304,Component,extracellular exosome
P48304,Component,extracellular space
Q9H902,Component,cytoplasm
Q9H902,Component,endoplasmic reticulum
Q9H902,Component,endoplasmic reticulum membrane
Q9H902,Component,endoplasmic reticulum tubular network
Q9H902,Component,integral component of membrane
Q9H902,Component,membrane
Q9H902,Component,mitochondrial membrane
Q9BRK0,Component,cytoplasmic microtubule
Q9BRK0,Component,endoplasmic reticulum
Q9BRK0,Component,endoplasmic reticulum membrane
Q9BRK0,Component,integral component of plasma membrane
Q8NC24,Component,basement membrane
Q8NC24,Component,integral component of membrane
Q8NC24,Component,plasma membrane
P78509,Component,cytoplasm
P78509,Component,dendrite
P78509,Component,extracellular matrix
P78509,Component,extracellular region
P78509,Component,extracellular space
P78509,Component,plasma membrane
Q01201,Component,cytosol
Q01201,Component,microtubule organizing center
Q01201,Component,nucleoplasm
Q01201,Component,nucleus
Q01201,Component,protein-containing complex
Q01201,Component,transcriptional repressor complex
A0A1B0GV85,Component,integral component of membrane
Q8NC44,Component,integral component of membrane
O00391,Component,endoplasmic reticulum lumen
O00391,Component,extracellular exosome
O00391,Component,extracellular region
O00391,Component,extracellular space
O00391,Component,Golgi apparatus
O00391,Component,integral component of Golgi membrane
O00391,Component,intercellular bridge
O00391,Component,intracellular membrane-bounded organelle
O00391,Component,platelet alpha granule lumen
O00391,Component,specific granule lumen
