Protein,go_term_type,go_term
O43809,Component,paraspeckles
Q02318,Component,mitochondrial matrix
Q02318,Component,mitochondrial membrane
Q02318,Component,mitochondrion
Q16678,Component,endoplasmic reticulum membrane
Q16678,Component,mitochondrion
Q16678,Component,organelle membrane
Q6UW02,Component,integral component of membrane
Q6UW02,Component,membrane
P10635,Component,cytoplasm
P10635,Component,endoplasmic reticulum
P10635,Component,endoplasmic reticulum membrane
P10635,Component,intracellular membrane-bounded organelle
P10635,Component,mitochondrion
P10635,Component,organelle membrane
P05813,Component,cytoplasm
P05813,Component,nucleus
Q9NQ79,Component,extracellular exosome
Q9NQ79,Component,growth cone
Q96RY5,Component,nucleus
O94985,Component,cell junction
O94985,Component,cell surface
O94985,Component,endoplasmic reticulum membrane
O94985,Component,extracellular region
O94985,Component,GABA-ergic synapse
O94985,Component,glutamatergic synapse
O94985,Component,Golgi membrane
O94985,Component,integral component of postsynaptic density membrane
O94985,Component,integral component of spine apparatus membrane
O94985,Component,nucleus
O94985,Component,postsynaptic endosome
O94985,Component,postsynaptic membrane
Q8N8Q3,Component,cytoplasm
Q8N8Q3,Component,nucleolus
Q9H4G1,Component,extracellular region
Q5W188,Component,extracellular space
Q5W186,Component,extracellular region
Q9HC47,Component,integral component of membrane
Q96RT6,Component,endoplasmic reticulum exit site
Q96RT6,Component,endoplasmic reticulum membrane
Q96RT6,Component,integral component of membrane
Q53GD3,Component,apical plasma membrane
Q53GD3,Component,extracellular exosome
Q53GD3,Component,integral component of membrane
Q53GD3,Component,plasma membrane
O43310,Component,cytosol
O43310,Component,perinuclear region of cytoplasm
Q8NCS7,Component,integral component of membrane
Q8NCS7,Component,plasma membrane
Q8WVB6,Component,Ctf18 RFC-like complex
Q8WVB6,Component,cytosol
Q8WVB6,Component,membrane
Q8WVB6,Component,nucleoplasm
P26232,Component,actin cytoskeleton
P26232,Component,adherens junction
P26232,Component,axon
P26232,Component,basolateral plasma membrane
P26232,Component,cell-cell adherens junction
P26232,Component,cytoplasm
P26232,Component,cytosol
P26232,Component,extrinsic component of postsynaptic membrane
P26232,Component,extrinsic component of presynaptic membrane
P26232,Component,hippocampal mossy fiber to CA3 synapse
P26232,Component,lamellipodium
P26232,Component,nucleus
P26232,Component,parallel fiber to Purkinje cell synapse
P26232,Component,"postsynaptic density, intracellular component"
P26232,Component,presynaptic active zone cytoplasmic component
A4FU28,Component,endoplasmic reticulum exit site
A4FU28,Component,endoplasmic reticulum membrane
A4FU28,Component,integral component of membrane
P29279,Component,cell cortex
P29279,Component,cis-Golgi network
P29279,Component,cytosol
P29279,Component,extracellular matrix
P29279,Component,extracellular region
P29279,Component,extracellular space
P29279,Component,perinuclear region of cytoplasm
P29279,Component,plasma membrane
P52569,Component,cell junction
P52569,Component,integral component of plasma membrane
P52569,Component,membrane
P52569,Component,plasma membrane
Q8WZ74,Component,cell cortex
Q8WZ74,Component,dendritic spine
Q8WZ74,Component,glutamatergic synapse
Q8WZ74,Component,postsynaptic actin cytoskeleton
Q8WZ74,Component,synaptic vesicle
Q7RTX7,Component,acrosomal vesicle
Q7RTX7,Component,CatSper complex
Q7RTX7,Component,plasma membrane
Q7RTX7,Component,sperm principal piece
Q9N2K0,Component,integral component of membrane
Q9N2K0,Component,plasma membrane
O42043,Component,integral component of membrane
O42043,Component,plasma membrane
Q6ZRH7,Component,CatSper complex
Q6ZRH7,Component,motile cilium
Q6ZRH7,Component,plasma membrane
Q6ZRH7,Component,sperm principal piece
Q9NTU4,Component,CatSper complex
Q9NTU4,Component,cytoplasm
Q9NTU4,Component,sperm principal piece
Q69384,Component,integral component of membrane
Q69384,Component,plasma membrane
P61567,Component,integral component of membrane
P61567,Component,plasma membrane
Q902F8,Component,integral component of membrane
Q902F8,Component,plasma membrane
Q9H0I2,Component,cytoplasmic microtubule
Q9H0I2,Component,microtubule cytoskeleton
P58512,Component,endoplasmic reticulum
O60494,Component,apical plasma membrane
O60494,Component,brush border membrane
O60494,Component,clathrin-coated pit
O60494,Component,coated vesicle
O60494,Component,cytosol
O60494,Component,endocytic vesicle
O60494,Component,endocytic vesicle membrane
O60494,Component,endoplasmic reticulum
O60494,Component,endosome membrane
O60494,Component,extracellular exosome
O60494,Component,extrinsic component of external side of plasma membrane
O60494,Component,Golgi apparatus
O60494,Component,Golgi-associated vesicle
O60494,Component,ionotropic glutamate receptor complex
O60494,Component,lysosomal lumen
O60494,Component,lysosomal membrane
O60494,Component,membrane
O60494,Component,neuron projection membrane
O60494,Component,plasma membrane
O60494,Component,synapse
A0A1B0GTU2,Component,integral component of membrane
A0A1B0GV90,Component,integral component of membrane
O60888,Component,extracellular exosome
O60888,Component,membrane
P06733,Component,cell cortex region
P06733,Component,cell surface
P06733,Component,cytoplasm
P06733,Component,cytosol
P06733,Component,extracellular exosome
P06733,Component,extracellular space
P06733,Component,M band
P06733,Component,membrane
P06733,Component,nucleus
P06733,Component,phosphopyruvate hydratase complex
P06733,Component,plasma membrane
P39880,Component,cytosol
P39880,Component,Golgi apparatus
P39880,Component,Golgi membrane
P39880,Component,nucleoplasm
P39880,Component,nucleus
P13929,Component,cytosol
P13929,Component,extracellular exosome
P13929,Component,extracellular space
P13929,Component,membrane
P13929,Component,phosphopyruvate hydratase complex
P13929,Component,plasma membrane
P09104,Component,cytosol
P09104,Component,extracellular exosome
P09104,Component,extracellular space
P09104,Component,membrane
P09104,Component,myelin sheath
P09104,Component,perikaryon
P09104,Component,phosphopyruvate hydratase complex
P09104,Component,photoreceptor inner segment
P09104,Component,plasma membrane
Q02221,Component,mitochondrial respiratory chain complex IV
P14854,Component,mitochondrial inner membrane
P14854,Component,mitochondrial intermembrane space
P14854,Component,mitochondrion
P14854,Component,respiratory chain complex IV
Q969M2,Component,connexin complex
Q969M2,Component,integral component of membrane
Q969M2,Component,plasma membrane
P48165,Component,connexin complex
P48165,Component,integral component of plasma membrane
P35212,Component,connexin complex
P35212,Component,gap junction
P35212,Component,integral component of plasma membrane
O95452,Component,apical plasma membrane
O95452,Component,cell junction
O95452,Component,connexin complex
O95452,Component,cytosol
O95452,Component,integral component of membrane
P19876,Component,extracellular region
P19876,Component,extracellular space
P08034,Component,connexin complex
P08034,Component,endoplasmic reticulum membrane
P08034,Component,integral component of membrane
P08034,Component,lateral plasma membrane
P80162,Component,extracellular region
P80162,Component,extracellular space
P02775,Component,extracellular region
P02775,Component,extracellular space
P02775,Component,platelet alpha granule
P02775,Component,platelet alpha granule lumen
P02775,Component,tertiary granule lumen
O75712,Component,cell junction
O75712,Component,connexin complex
O75712,Component,cytoplasm
O75712,Component,gap junction
O75712,Component,integral component of membrane
O75712,Component,intracellular membrane-bounded organelle
Q96KN9,Component,connexin complex
Q96KN9,Component,integral component of membrane
P25025,Component,cell surface
P25025,Component,external side of plasma membrane
P25025,Component,integral component of plasma membrane
P25025,Component,intracellular
P25025,Component,mast cell granule
P25025,Component,membrane
P25025,Component,plasma membrane
P25025,Component,secretory granule membrane
A6NN92,Component,connexin complex
A6NN92,Component,integral component of membrane
P61073,Component,cell junction
P61073,Component,cell leading edge
P61073,Component,cell surface
P61073,Component,cytoplasm
P61073,Component,cytoplasmic vesicle
P61073,Component,early endosome
P61073,Component,external side of plasma membrane
P61073,Component,extracellular exosome
P61073,Component,integral component of membrane
P61073,Component,late endosome
P61073,Component,lysosome
P61073,Component,plasma membrane
P61073,Component,protein-containing complex
P00167,Component,cytosol
P00167,Component,endoplasmic reticulum membrane
P00167,Component,integral component of membrane
P00167,Component,intracellular membrane-bounded organelle
P00167,Component,membrane
P00167,Component,mitochondrial outer membrane
Q9BQA9,Component,endoplasmic reticulum
Q9BQA9,Component,endoplasmic reticulum membrane
Q9BQA9,Component,integral component of membrane
Q9HB71,Component,beta-catenin destruction complex
Q9HB71,Component,cytosol
Q9HB71,Component,extracellular exosome
Q9HB71,Component,nucleoplasm
Q9HB71,Component,nucleus
P00156,Component,integral component of mitochondrial inner membrane
P00156,Component,mitochondrial inner membrane
P00156,Component,mitochondrial respiratory chain complex III
P00156,Component,mitochondrion
P00403,Component,integral component of membrane
P00403,Component,membrane
P00403,Component,mitochondrial inner membrane
P00403,Component,mitochondrial respiratory chain complex IV
P00403,Component,mitochondrion
P00403,Component,respiratory chain complex IV
Q7Z7K0,Component,mitochondrion
O14548,Component,mitochondrial inner membrane
O14548,Component,mitochondrial respiratory chain
O14548,Component,mitochondrial respiratory chain supercomplex
O14548,Component,mitochondrion
O14548,Component,nucleolus
P10632,Component,cytoplasm
P10632,Component,endoplasmic reticulum membrane
P10632,Component,intracellular membrane-bounded organelle
P10632,Component,organelle membrane
P51589,Component,cytoplasm
P51589,Component,endoplasmic reticulum membrane
P51589,Component,extracellular exosome
P51589,Component,intracellular membrane-bounded organelle
P51589,Component,organelle membrane
Q96SQ9,Component,cytoplasm
Q96SQ9,Component,endoplasmic reticulum
Q96SQ9,Component,endoplasmic reticulum membrane
Q96SQ9,Component,intracellular membrane-bounded organelle
Q96SQ9,Component,organelle membrane
O75718,Component,endoplasmic reticulum
O75718,Component,endoplasmic reticulum lumen
O75718,Component,extracellular space
O75718,Component,protein-containing complex
O75462,Component,CRLF-CLCF1 complex
O75462,Component,cytosol
O75462,Component,external side of plasma membrane
O75462,Component,extracellular region
O75462,Component,extracellular space
O75462,Component,receptor complex
Q9HC73,Component,external side of plasma membrane
Q9HC73,Component,extracellular region
Q9HC73,Component,integral component of membrane
Q9HC73,Component,plasma membrane
Q9HC73,Component,receptor complex
P02489,Component,cytoplasm
P02489,Component,cytosol
P02489,Component,nucleoplasm
P02489,Component,nucleus
Q9Y2W7,Component,axon terminus
Q9Y2W7,Component,cytosol
Q9Y2W7,Component,dendrite
Q9Y2W7,Component,endoplasmic reticulum
Q9Y2W7,Component,Golgi apparatus
Q9Y2W7,Component,nucleus
Q9Y2W7,Component,plasma membrane
Q9Y2W7,Component,protein-DNA complex
Q9Y2W7,Component,voltage-gated potassium channel complex
P0DML2,Component,endoplasmic reticulum
P0DML2,Component,endosome lumen
P0DML2,Component,extracellular region
P0DML2,Component,extracellular space
P0DML2,Component,vesicle
Q9BV81,Component,ER membrane protein complex
Q9BV81,Component,integral component of endoplasmic reticulum membrane
Q9BV81,Component,integral component of membrane
Q9BV81,Component,integral component of omegasome membrane
Q9Y3B6,Component,cytoplasm
Q9Y3B6,Component,ER membrane protein complex
P50402,Component,cytoplasm
P50402,Component,endoplasmic reticulum
P50402,Component,integral component of membrane
P50402,Component,membrane
P50402,Component,microtubule
P50402,Component,nuclear envelope
P50402,Component,nuclear inner membrane
P50402,Component,nuclear membrane
P50402,Component,nuclear outer membrane
P50402,Component,nucleoplasm
P50402,Component,spindle
P15509,Component,external side of plasma membrane
P15509,Component,extracellular region
P15509,Component,integral component of plasma membrane
P15509,Component,plasma membrane
P15509,Component,receptor complex
Q99062,Component,external side of plasma membrane
Q99062,Component,extracellular region
Q99062,Component,integral component of plasma membrane
Q99062,Component,plasma membrane
Q99062,Component,receptor complex
Q96A84,Component,collagen trimer
Q96A84,Component,endoplasmic reticulum
Q96A84,Component,extracellular matrix
Q96A84,Component,Golgi apparatus
Q8WXE0,Component,cytoplasm
Q8WXE0,Component,membrane
Q7L5N1,Component,COP9 signalosome
Q7L5N1,Component,cytosol
Q7L5N1,Component,nucleoplasm
Q9UBW8,Component,COP9 signalosome
Q9UBW8,Component,cytosol
Q9UBW8,Component,nucleoplasm
Q99708,Component,intracellular membrane-bounded organelle
Q99708,Component,nucleoplasm
Q99708,Component,nucleus
Q99708,Component,site of double-strand break
Q99708,Component,transcriptional repressor complex
P35221,Component,acrosomal vesicle
P35221,Component,actin cytoskeleton
P35221,Component,catenin complex
P35221,Component,cell junction
P35221,Component,cell-cell junction
P35221,Component,cytosol
P35221,Component,flotillin complex
P35221,Component,focal adhesion
P35221,Component,Golgi apparatus
P35221,Component,intercalated disc
P35221,Component,intracellular membrane-bounded organelle
P35221,Component,lamellipodium
P35221,Component,plasma membrane
P35221,Component,zonula adherens
Q8WWI5,Component,extracellular exosome
Q8WWI5,Component,integral component of membrane
Q8WWI5,Component,membrane
Q8WWI5,Component,mitochondrial outer membrane
Q8WWI5,Component,mitochondrion
Q8WWI5,Component,nucleoplasm
Q8WWI5,Component,plasma membrane
A4D2H0,Component,endoplasmic reticulum exit site
A4D2H0,Component,endoplasmic reticulum membrane
A4D2H0,Component,integral component of membrane
Q13618,Component,Cul3-RING ubiquitin ligase complex
Q13618,Component,cullin-RING ubiquitin ligase complex
Q13618,Component,cytoplasm
Q13618,Component,cytosol
Q13618,Component,extracellular exosome
Q13618,Component,Golgi membrane
Q13618,Component,membrane
Q13618,Component,nucleoplasm
Q13618,Component,polar microtubule
Q13618,Component,sperm flagellum
Q13619,Component,Cul4-RING E3 ubiquitin ligase complex
Q13619,Component,Cul4A-RING E3 ubiquitin ligase complex
Q13619,Component,cullin-RING ubiquitin ligase complex
Q13619,Component,nucleoplasm
Q9NTM9,Component,cytoplasm
Q9NTM9,Component,cytosol
Q9NTM9,Component,nucleolus
Q9NTM9,Component,nucleoplasm
Q9NTM9,Component,nucleus
O14529,Component,extracellular exosome
O14529,Component,Golgi membrane
O14529,Component,nucleus
P19875,Component,extracellular region
P19875,Component,extracellular space
P42830,Component,extracellular region
P42830,Component,extracellular space
P32302,Component,external side of plasma membrane
P32302,Component,integral component of plasma membrane
P32302,Component,plasma membrane
Q9NTQ9,Component,cell junction
Q9NTQ9,Component,connexin complex
Q9NTQ9,Component,integral component of membrane
Q9NTQ9,Component,nucleolus
Q9NTQ9,Component,nucleus
O43927,Component,cell
O43927,Component,extracellular region
O43927,Component,extracellular space
O95715,Component,extracellular space
O95715,Component,Golgi apparatus
Q6UXB2,Component,extracellular space
O15255,Component,plasma membrane
P49447,Component,integral component of membrane
P49447,Component,lysosomal membrane
P04839,Component,dendrite
P04839,Component,endoplasmic reticulum membrane
P04839,Component,Golgi apparatus
P04839,Component,integral component of plasma membrane
P04839,Component,NADPH oxidase complex
P04839,Component,neuronal cell body
P04839,Component,nuclear envelope
P04839,Component,perinuclear region of cytoplasm
P04839,Component,phagocytic vesicle membrane
P04839,Component,plasma membrane
P04839,Component,rough endoplasmic reticulum
P04839,Component,specific granule membrane
P04839,Component,tertiary granule membrane
Q53TN4,Component,brush border membrane
Q53TN4,Component,extracellular exosome
Q53TN4,Component,integral component of membrane
Q53TN4,Component,lysosomal membrane
Q53TN4,Component,plasma membrane
O95674,Component,endoplasmic reticulum membrane
O95674,Component,integral component of membrane
O95674,Component,membrane
O95674,Component,mitochondrial inner membrane
Q5SZL2,Component,centrosome
Q5SZL2,Component,cytoplasm
Q2WEN9,Component,extracellular space
Q2WEN9,Component,stereocilium tip
Q9UPV0,Component,centriole
Q9UPV0,Component,centrosome
Q9UPV0,Component,ciliary transition fiber
Q9UPV0,Component,cytosol
Q9UPV0,Component,extracellular space
